EmployeeID,Name,Department,JobRole,HireDate,MonthlyIncome,PerformanceRating,PercentSalaryHike,YearsAtCompany,TrainingTimesLastYear,Attrition
1,Maria Moore,Sales,Sales Executive,2022-02-19,15149,3,17,3,1,Yes
2,Jennifer Hodge,Sales,Sales Executive,2015-11-23,12674,4,11,9,0,Yes
3,Catherine Blair,R&D,Research Scientist,2017-02-18,11279,1,16,8,5,No
4,Matthew Hawkins,R&D,Laboratory Technician,2017-02-24,12654,3,10,8,6,Yes
5,Jonathan Fitzgerald,Finance,Accountant,2021-12-02,7552,2,16,3,6,No
6,Sara Lowe,Sales,Sales Executive,2018-05-04,9224,1,21,7,6,No
7,Susan Pena,IT,Software Engineer,2015-08-31,16223,1,24,9,4,Yes
8,Omar Hernandez,Finance,Financial Analyst,2017-12-26,12044,3,21,7,4,Yes
9,James Lara,Sales,Sales Executive,2015-12-25,13834,2,19,9,0,Yes
10,Tiffany Howard MD,Sales,Sales Representative,2023-04-06,7554,4,21,2,1,No
11,Bryan Johnson,HR,Human Resources,2022-09-14,13980,3,12,2,4,Yes
12,Carolyn Church,IT,System Administrator,2016-07-07,5677,4,22,9,2,Yes
13,Stephanie Stevens,HR,Human Resources,2024-03-16,6752,1,20,1,3,No
14,Mrs. Joyce Williams,Sales,Sales Executive,2016-12-03,17960,3,16,8,5,No
15,Jessica Griffin,Finance,Accountant,2019-05-03,5340,3,14,6,1,No
16,Joseph Cooper,IT,Software Engineer,2016-09-15,17709,4,21,8,1,Yes
17,Samantha Madden,IT,Software Engineer,2020-10-10,4489,1,13,4,1,Yes
18,Thomas Wilson,Finance,Financial Analyst,2018-11-27,9304,4,24,6,4,No
19,Deborah Johnston,IT,System Administrator,2017-11-21,14145,1,18,7,6,No
20,Rebecca Thomas,Sales,Sales Representative,2019-06-26,10123,2,24,6,0,No
21,Terry Green,IT,System Administrator,2017-12-04,11317,1,19,7,6,Yes
22,Jessica Miranda,R&D,Laboratory Technician,2018-02-25,15492,2,10,7,4,No
23,Larry Smith,Finance,Financial Analyst,2022-07-11,4832,3,19,3,1,Yes
24,Cory Wilson,R&D,Research Scientist,2024-06-12,4403,4,12,1,6,Yes
25,Rebecca Briggs,R&D,Laboratory Technician,2015-12-09,12007,2,18,9,4,No
26,Nicholas Flowers,R&D,Research Scientist,2019-01-20,14680,3,22,6,5,No
27,Taylor Wyatt,Finance,Accountant,2021-08-26,4982,2,17,3,0,No
28,Lisa Reid,Sales,Sales Executive,2020-10-26,12641,2,10,4,0,Yes
29,Janet Cole,R&D,Research Scientist,2019-09-02,17834,1,20,5,0,Yes
30,Ashley Holmes,HR,Recruitment Specialist,2018-07-05,6510,2,25,7,1,No
31,Monica Harris,Finance,Financial Analyst,2020-12-22,4545,1,23,4,2,No
32,Lauren Mullins,Finance,Accountant,2023-01-16,17153,1,13,2,0,No
33,Jenny Steele,HR,Human Resources,2022-03-09,7073,2,16,3,4,No
34,Monica Williams,R&D,Laboratory Technician,2020-02-22,6006,3,24,5,1,Yes
35,Mark Moore,Finance,Financial Analyst,2017-02-01,3828,1,12,8,6,Yes
36,Jose Craig,R&D,Laboratory Technician,2021-07-08,10956,4,16,4,6,No
37,Matthew Kelly,Sales,Sales Executive,2023-07-11,9209,1,22,2,2,No
38,Jason Escobar,HR,Recruitment Specialist,2020-01-24,14412,4,14,5,1,No
39,Courtney Johnson,R&D,Research Scientist,2018-12-17,12489,1,20,6,0,Yes
40,Matthew Reyes,IT,Software Engineer,2022-05-11,11238,2,11,3,4,Yes
41,Adriana Barry,R&D,Research Scientist,2021-03-28,12749,1,17,4,3,Yes
42,Leah Scott,IT,System Administrator,2017-10-27,12485,1,12,7,3,No
43,Phillip Robinson,HR,Human Resources,2022-08-10,13972,3,17,2,2,No
44,Kimberly Anderson,R&D,Laboratory Technician,2020-12-05,10491,3,12,4,0,No
45,Veronica Harris,IT,System Administrator,2021-08-21,4200,2,18,3,1,No
46,Charles Chavez,Sales,Sales Executive,2021-01-25,9054,3,15,4,3,No
47,Laura Patel,IT,System Administrator,2015-10-14,13942,3,13,9,1,No
48,Kimberly Moyer,Sales,Sales Executive,2017-06-03,15163,2,18,8,2,Yes
49,Nathaniel Walsh,HR,Human Resources,2022-01-21,14263,3,25,3,2,Yes
50,John Adams,Sales,Sales Representative,2021-03-20,16588,3,11,4,0,No
51,Erica Joseph,R&D,Laboratory Technician,2022-07-12,5647,4,23,3,4,Yes
52,Chad Robertson,Sales,Sales Executive,2015-08-14,17468,2,11,9,6,No
53,Tyler Bennett,IT,System Administrator,2021-07-21,10041,2,11,4,2,No
54,Rebecca Murray,Sales,Sales Representative,2016-12-19,6441,2,13,8,2,No
55,Anna Jones,IT,System Administrator,2018-10-10,6878,2,15,6,3,Yes
56,Chelsea Morton,R&D,Laboratory Technician,2020-09-25,15818,4,17,4,2,Yes
57,Lauren Solomon,Sales,Sales Representative,2018-08-17,17289,1,25,6,1,Yes
58,Cindy Harrell,Finance,Accountant,2022-09-29,8000,2,17,2,0,Yes
59,Victoria Chase,Finance,Accountant,2020-05-26,7564,1,18,5,2,No
60,Christopher Romero,IT,Software Engineer,2019-07-01,3452,1,18,6,1,No
61,Destiny White,Sales,Sales Executive,2021-02-21,12774,4,21,4,5,No
62,Sydney Williams,Finance,Financial Analyst,2022-07-14,9311,2,18,3,0,No
63,Dana Williams,Sales,Sales Executive,2021-09-15,8967,4,12,3,5,No
64,Christopher Reeves,IT,Software Engineer,2019-06-13,13868,1,19,6,4,No
65,Ricardo Sanders,Finance,Accountant,2021-10-24,9592,3,14,3,1,No
66,Sarah Briggs,Finance,Financial Analyst,2016-03-31,13084,3,22,9,4,Yes
67,Amanda Chen,HR,Recruitment Specialist,2020-09-11,6443,4,20,4,3,No
68,Christopher Miller,Finance,Financial Analyst,2019-10-06,11375,4,15,5,5,Yes
69,Fernando Beck,HR,Recruitment Specialist,2021-05-24,4530,2,19,4,1,Yes
70,Tabitha Howard,R&D,Research Scientist,2023-02-17,3757,2,25,2,4,Yes
71,Tristan Hayes,Finance,Accountant,2016-07-11,17518,2,22,9,3,No
72,Jennifer Hardin,R&D,Research Scientist,2019-12-08,13748,1,13,5,6,No
73,Chase Young,R&D,Research Scientist,2020-09-02,16174,4,11,4,4,Yes
74,Michael Velez,Sales,Sales Representative,2024-01-15,5184,4,20,1,6,No
